7zip 26.02-1
a52dec 0.8.0-3
abseil-cpp 20260817.0-1
accountsservice 26.27.3-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.14.1-1
appmenu-gtk-module 25.04-3
appstream 1.1.6-1
aquamarine 0.14.0-2
archlinux-keyring 20260727-1
argon2 20190702-6
at 3.2.5-5
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.47-4
bison 3.8.2-8
blueman 2.4.6-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
breeze-icons 6.29.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
clamav 1.5.3-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
code 1.134.0-1
composefs 1.0.8-1
containerd 2.3.4-1
coreutils 9.11-2
cpio 2.15-3
cpuinfo r843.ea6b9f1-1
cryptsetup 2.8.7-1
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
deno 2.9.5-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
docker 1:29.7.2-1
dosfstools 4.2-5
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-2
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
electron39 39.8.10-2
electron40 40.10.6-1
electron42 42.9.3-1
electron43 43.4.1-1
elfutils 0.196-1
ell 0.83-1
enchant 2.8.15-2
exfatprogs 1.4.3-1
exo 4.20.0-2
expat 2.8.3-1
faad2 2.11.2-1
fakeroot 1:1.37.2-3
fastfetch 2.67.1-1
ffmpeg 2:9.0.1-4
fftw 3.3.11-1
file 5.48-1
filelight 26.08.0-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firefox 154.0.1-1
fish 4.8.1-1
flac 1.5.0-1
flatpak 1:1.18.1-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.3-2
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-6
fuse3 3.18.2-1
fzf 0.74.3-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
geocode-glib 3.26.4-6
gettext 1.0-2
giflib 6.1.3-2
girara 2026.07.18-1
git 2.55.0-1
git-filter-repo 2.47.0-3
git-graph 0.8.0-1
git-lfs 3.7.1-2
github-cli 2.98.0-1
gitleaks 8.30.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glib2-devel 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glycin 2.1.5-2
gmp 6.3.0-3
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gruvbox-dark-icons-gtk 1.0.0-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.6-2
gst-plugins-base-libs 1.28.6-2
gstreamer 1.28.6-2
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.3.1-1
harfbuzz-icu 14.3.1-1
hashcat 1:7.1.2-2
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hunspell 1.7.3-1
hwdata 0.410-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprlang 0.6.8-5
hyprlock 0.9.6-2
hyprpaper 0.8.4-6
hyprpicker 0.4.7-3
hyprshot 1.3.0-4
hyprtoolkit 0.5.4-4
hyprutils 0.14.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
iana-etc 20260617-1
icu 78.3-1
iniparser 4.2.6-2
intel-compute-runtime 26.31.39395.13-1
intel-gmmlib 22.10.0-1
intel-graphics-compiler 1:2.40.13-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.1-1
jbigkit 2.1-8
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.29.0-1
kbd 2.10.0-1
kbookmarks 6.29.0-1
kcodecs 6.29.0-1
kcolorscheme 6.29.0-1
kcompletion 6.29.0-1
kconfig 6.29.0-1
kcoreaddons 6.29.0-1
kcrash 6.29.0-1
kdbusaddons 6.29.0-1
keyutils 1.6.3-4
kglobalaccel 6.29.0-1
kguiaddons 6.29.0-1
ki18n 6.29.0-1
kiconthemes 6.29.0-1
kio 6.29.0-2
kirigami 6.29.0-1
kirigami-addons 1.13.1-1
kitemmodels 6.29.0-1
kitemviews 6.29.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.29.0-1
kmod 34.2-1
knotifications 6.29.0-1
krb5 1.22.2-1
kservice 6.29.0-1
ksvg 6.29.0-1
kwallet 6.29.0-1
kwidgetsaddons 6.29.0-1
kwindowsystem 6.29.0-1
l-smash 2.14.5-4
lame 4.0-1
lcms2 2.19.1-1
leancrypto 1.8.0-1
less 1:704-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-2
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.1-2
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
